Bloco;Parcela;Faixa;Arvore;Fuste;Código;;X;Y;Familia;Nome_Cientifico;Nome_comum;CAP_2002;CAP_2005;CAP_2008;CAP_2011;CAP_2014;CAP_2017;CAP_2020;CAP_2026;HC;anoHC;HT;anoHT;Fuste;Estrato;Fitossanidade;Pos;Forma;Ano_Ingresso;info_Morta;Ano_Morta;Observacoes
1;1;1;1;1;0;FALSO;0.5;63;Lauraceae;Ocotea porosa (Nees & Mart.) Barroso;Imbuia;196.5;209.3;219;219;225;230.4;237;252.1;23;;9;;3;2;2;2;2;2002;0;;
1;1;1;2;1;0;FALSO;4;56.6;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;53.5;57.6;59.5;61.6;62.2;62.2;62.2;62.5;16;;12;;2;2;3;5;4;2002;0;;
1;1;1;3;1;0;FALSO;0.1;72;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;227;227.7;234;234;236.8;237;245;249.5;28;;25;;3;3;3;5;4;2002;0;;
1;1;1;4;1;0;FALSO;3;80.5;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;53.5;55.1;55.5;55.5;55.4;;;;20;;10;;2;2;3;1;1;2002;1;2017;
1;1;1;5;1;0;FALSO;4;76.4;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;67;71;71.8;73.9;77.5;79.2;80.4;86.7;15;;8.5;;2;2;3;3;3;2002;0;;engoliu a placa
1;1;1;6;1;0;FALSO;8.5;78.3;Salicaceae;Casearia decandra Jacq.;Guaçatunga-branca;36;39.9;42.9;44.8;49.1;51.3;54.4;57.5;13.4;;8;;3;1;3;3;3;2002;0;;
1;1;1;7;1;0;FALSO;7.5;81.4;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;39.5;39.5;39.5;40.4;40.4;41;41.7;43.5;15.3;;13.5;;2;2;3;3;2;2002;0;;
1;1;1;8;1;0;FALSO;8.5;83.2;Canellaceae;Cinnamodendron dinisii Schwacke;Pimenteira;45;;;;;;;;;;;;1;1;3;0;0;2002;1;2005;
1;1;1;9;1;0;FALSO;8.6;83.8;N.I.;N.I.;N.I.;32;;;;;;;;;;;;2;1;3;0;0;2002;1;2005;
1;1;1;10;1;0;FALSO;8.2;83.9;Canellaceae;Cinnamodendron dinisii Schwacke;Pimenteira;51.5;;;;;;;;;;;;2;1;3;0;0;2002;1;2005;
1;1;1;11;1;0;FALSO;8.2;84.1;Aquifoliaceae;Ilex theezans Mart. ex Reissek;Caúna;55.5;;;;;;;;;;;;2;1;3;0;0;2002;1;2005;
1;1;1;12;1;0;FALSO;6.5;84.1;Aquifoliaceae;Ilex theezans Mart. ex Reissek;Caúna;45;47.3;49;52;56.2;60.3;61.1;64.3;14.3;;7.5;;2;2;3;3;4;2002;0;;
1;1;1;13;1;0;FALSO;5;83;Aquifoliaceae;Ilex dumosa Reissek;Cauninha;32;32.8;32.8;32.8;33.1;33.2;;;12.5;;9.5;;2;2;3;2;1;2002;1;2020;
1;1;1;14;1;0;FALSO;7.7;88;Aquifoliaceae;Ilex theezans Mart. ex Reissek;Caúna;36.5;37.2;40;43;46.5;49.1;50.5;51.8;7;;2.5;;1;1;3;3;2;2002;0;;
1;1;1;15;1;0;FALSO;9.5;95.7;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;205;210.6;215;219;219.9;221.8;227;232.5;26;;26;;3;3;2;5;5;2002;0;;
